timestamp,source_ip,dest_ip,protocol,action,threat_label,log_type,bytes_transferred,user_agent,request_path
2024-01-08T00:00:00,192.168.1.110,192.168.1.189,UDP,allowed,benign,application,18452,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/
2024-07-02T00:00:00,192.168.1.136,192.168.1.31,HTTP,allowed,benign,ids,48583,curl/7.64.1,/dashboard
2024-10-30T00:00:00,225.184.81.55,192.168.1.126,TCP,allowed,suspicious,application,5648,Nmap Scripting Engine,/?phpmyadmin
2024-09-05T00:00:00,192.168.1.54,192.168.1.192,ICMP,blocked,benign,ids,8024,Nmap Scripting Engine,/
2024-11-09T00:00:00,192.168.1.90,192.168.1.171,HTTP,blocked,benign,firewall,20369,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/wp-login.php
2024-05-30T00:00:00,192.168.1.227,192.168.1.129,UDP,blocked,benign,ids,11504,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/
2024-01-15T00:00:00,192.168.1.109,192.168.1.36,ICMP,blocked,benign,application,47196,Nmap Scripting Engine,/
2024-03-24T00:00:00,192.168.1.221,192.168.1.92,HTTP,allowed,benign,application,218,curl/7.64.1,/index.php
2024-07-06T00:00:00,192.168.1.185,192.168.1.16,ICMP,blocked,benign,firewall,33997,SQLMap/1.6-dev,/
2024-11-10T00:00:00,192.168.1.43,192.168.1.166,SSH,blocked,benign,application,6444,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/etc/passwd
2024-10-10T00:00:00,192.168.1.209,192.168.1.233,HTTP,allowed,benign,application,32711,SQLMap/1.6-dev,/wp-login.php
2024-06-27T00:00:00,113.231.133.116,192.168.1.115,TCP,allowed,benign,firewall,4031,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/
2024-01-24T00:00:00,192.168.1.69,192.168.1.30,TCP,allowed,benign,application,21198,Nmap Scripting Engine,/
2024-08-28T00:00:00,192.168.1.87,192.168.1.235,TCP,blocked,benign,firewall,12026,Nmap Scripting Engine,/
2024-05-20T00:00:00,68.36.64.191,192.168.1.208,HTTPS,allowed,benign,firewall,18055,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/secure
2024-06-27T00:00:00,192.168.1.41,192.168.1.61,TCP,allowed,benign,ids,20460,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/
2024-08-16T00:00:00,19.182.162.16,192.168.1.81,HTTPS,allowed,benign,ids,8074,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/login
